runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260514_145139,2,1,1,EV,597.50,20,56.71,24.97,112.00,20.90,35.81,0.00,20,5,1031
20260514_145139,2,2,2,EA,581.50,20,57.19,23.18,105.78,23.49,33.70,0.00,20,5,1031
20260514_145139,3,0,0,SSP,466.00,20,62.42,6.10,155.16,22.50,39.91,0.00,20,5,1031
20260514_145139,3,1,1,EV,398.00,20,54.50,6.95,120.80,19.91,34.60,0.00,20,5,1031
20260514_145139,3,2,2,EA,357.00,20,51.75,4.82,84.58,17.82,33.93,0.00,20,5,1031
20260514_145139,4,0,0,SSP,332.00,20,60.32,4.40,143.57,20.78,39.54,0.00,20,5,1031
20260514_145139,4,1,1,EV,320.50,20,54.77,4.82,98.81,21.41,33.36,0.00,20,5,1031
20260514_145139,4,2,2,EA,314.00,20,52.04,5.25,94.66,18.56,33.47,0.00,20,5,1031
20260514_145139,5,0,0,SSP,301.00,20,63.40,4.40,136.98,23.06,40.34,0.00,20,5,1031
20260514_145139,5,1,1,EV,279.50,20,54.72,5.25,91.54,20.99,33.73,0.00,20,5,1031
20260514_145139,5,2,2,EA,266.00,20,53.62,20.92,97.34,18.79,34.84,0.00,20,5,1031
20260514_145139,6,0,0,SSP,292.00,20,60.46,5.25,139.06,20.76,39.71,0.00,20,5,1031
20260514_145139,6,1,1,EV,245.00,20,57.37,5.68,99.08,23.65,33.73,0.00,20,5,1031
20260514_145139,6,2,2,EA,222.00,20,54.32,14.59,98.16,20.79,33.52,0.00,20,5,1031
20260514_145139,7,0,0,SSP,225.00,20,59.89,4.82,103.35,19.96,39.92,0.00,20,5,1031
20260514_145139,7,1,1,EV,207.50,20,52.92,7.38,96.76,18.90,34.02,0.00,20,5,1031
20260514_145139,7,2,2,EA,201.50,20,53.30,13.08,86.14,19.29,34.02,0.00,20,5,1031
20260514_145139,8,0,0,SSP,190.00,20,60.38,5.25,107.35,19.13,41.25,0.00,20,5,1031
20260514_145139,8,1,1,EV,201.50,20,52.84,5.68,100.53,20.17,32.67,0.00,20,5,1031
20260514_145139,8,2,2,EA,155.00,20,49.79,21.38,94.80,14.84,34.94,0.00,20,5,1031
20260514_145139,9,0,0,SSP,199.50,20,63.03,4.40,114.15,20.73,42.30,0.00,20,5,1031
20260514_145139,9,1,1,EV,166.50,20,53.00,6.53,86.93,20.47,32.53,0.00,20,5,1031
20260514_145139,9,2,2,EA,166.00,20,53.08,12.48,80.56,18.54,34.54,0.00,20,5,1031
20260514_145139,10,0,0,SSP,203.50,20,61.75,13.34,135.00,20.28,41.47,0.00,20,5,1031
20260514_145139,10,1,1,EV,187.00,20,53.86,11.34,92.91,20.22,33.64,0.00,20,5,1031
20260514_145139,10,2,2,EA,145.00,20,49.46,13.51,89.00,16.33,33.13,0.00,20,5,1031
20260514_145219,1,0,0,SSP,323.50,20,16.17,9.64,29.00,7.73,8.44,0.00,20,1,1297
20260514_145219,1,1,1,EV,312.00,20,15.59,9.83,28.44,7.42,8.17,0.00,20,1,1297
20260514_145219,1,2,2,EA,308.00,20,15.40,5.42,28.69,7.25,8.15,0.00,20,1,1297
20260514_145219,2,0,0,SSP,167.00,20,16.03,9.40,36.74,7.84,8.19,0.00,20,1,1297
20260514_145219,2,1,1,EV,159.50,20,15.85,9.69,31.57,7.51,8.34,0.00,20,1,1297
20260514_145219,2,2,2,EA,160.50,20,15.06,4.76,28.56,6.74,8.32,0.00,20,1,1297
20260514_145219,3,0,0,SSP,114.50,20,15.58,6.26,32.37,7.25,8.33,0.00,20,1,1297
20260514_145219,3,1,1,EV,116.50,20,15.25,5.79,27.96,7.06,8.19,0.00,20,1,1297
20260514_145219,3,2,2,EA,101.00,20,14.27,4.96,26.24,6.24,8.03,0.00,20,1,1297
20260514_145219,4,0,0,SSP,94.50,20,15.80,5.77,33.44,6.98,8.82,0.00,20,1,1297
20260514_145219,4,1,1,EV,79.00,20,15.15,5.77,25.85,6.47,8.68,0.00,20,1,1297
20260514_145219,4,2,2,EA,75.00,20,13.94,4.88,23.43,6.00,7.95,0.00,20,1,1297
20260514_145219,5,0,0,SSP,77.00,20,15.81,5.26,29.37,7.32,8.49,0.00,20,1,1297
20260514_145219,5,1,1,EV,76.50,20,15.79,5.27,28.49,7.50,8.29,0.00,20,1,1297
20260514_145219,5,2,2,EA,71.00,20,14.09,4.75,26.71,6.11,7.98,0.00,20,1,1297
20260514_145219,6,0,0,SSP,65.00,20,16.50,5.76,29.54,7.72,8.78,0.00,20,1,1297
20260514_145219,6,1,1,EV,57.00,20,15.47,4.75,31.25,7.31,8.16,0.00,20,1,1297
20260514_145219,6,2,2,EA,62.00,20,14.71,4.75,27.84,6.58,8.13,0.00,20,1,1297
20260514_145219,7,0,0,SSP,52.50,20,15.82,4.75,29.63,7.51,8.31,0.00,20,1,1297
20260514_145219,7,1,1,EV,53.50,20,15.04,5.26,30.25,7.15,7.89,0.00,20,1,1297
20260514_145219,7,2,2,EA,52.00,20,15.27,2.66,32.50,7.39,7.88,0.00,20,1,1297
20260514_145219,8,0,0,SSP,49.50,20,16.73,5.77,26.19,8.48,8.24,0.00,20,1,1297
20260514_145219,8,1,1,EV,51.50,20,15.57,4.75,27.84,7.60,7.97,0.00,20,1,1297
20260514_145219,8,2,2,EA,48.00,20,15.26,2.92,29.41,7.31,7.94,0.00,20,1,1297
20260514_145219,9,0,0,SSP,48.50,20,16.98,4.75,33.74,8.27,8.71,0.00,20,1,1297
20260514_145219,9,1,1,EV,47.50,20,15.89,6.26,29.99,7.64,8.26,0.00,20,1,1297
20260514_145219,9,2,2,EA,50.50,20,15.86,2.92,32.92,7.75,8.11,0.00,20,1,1297
20260514_145219,10,0,0,SSP,46.50,20,16.70,5.03,26.68,7.73,8.97,0.00,20,1,1297
20260514_145219,10,1,1,EV,45.50,20,16.20,5.27,27.73,7.67,8.53,0.00,20,1,1297
