runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260513_011003,10,0,0,SSP,93.50,20,29.94,4.65,65.23,11.34,18.60,0.00,20,3,17
20260513_011003,10,1,1,EV,120.50,20,31.39,5.17,83.92,12.05,19.34,0.00,20,3,17
20260513_011003,10,2,2,EA,91.50,20,28.55,1.65,55.59,9.56,18.99,0.00,20,3,17
20260513_011003,1,0,0,SSP,952.00,20,47.59,10.39,86.06,15.57,32.02,0.00,20,4,17
20260513_011003,1,1,1,EV,781.00,20,39.04,6.79,82.93,14.99,24.05,0.00,20,4,17
20260513_011003,1,2,2,EA,783.50,20,39.17,9.34,79.01,14.85,24.32,0.00,20,4,17
20260513_011003,2,0,0,SSP,461.00,20,40.74,8.69,109.24,15.95,24.79,0.00,20,4,17
20260513_011003,2,1,1,EV,404.00,20,37.98,6.79,94.14,14.71,23.27,0.00,20,4,17
20260513_011003,2,2,2,EA,413.00,20,39.12,9.24,82.66,14.77,24.35,0.00,20,4,17
20260513_011003,3,0,0,SSP,308.50,20,38.91,9.05,107.90,15.97,22.94,0.00,20,4,17
20260513_011003,3,1,1,EV,289.00,20,37.80,8.89,76.75,14.65,23.15,0.00,20,4,17
20260513_011003,3,2,2,EA,261.50,20,33.92,2.17,78.44,10.21,23.71,0.00,20,4,17
20260513_011003,4,0,0,SSP,213.00,20,37.83,9.58,81.96,14.32,23.51,0.00,20,4,17
20260513_011003,4,1,1,EV,211.50,20,36.00,10.99,87.22,12.19,23.81,0.00,20,4,17
20260513_011003,4,2,2,EA,204.00,20,32.31,2.50,76.32,8.84,23.47,0.00,20,4,17
20260513_011003,5,0,0,SSP,153.00,20,35.34,9.59,85.87,12.81,22.53,0.00,20,4,17
20260513_011003,5,1,1,EV,180.50,20,34.63,10.12,74.75,11.34,23.30,0.00,20,4,17
20260513_011003,5,2,2,EA,199.00,20,33.60,2.17,105.86,10.57,23.03,0.00,20,4,17
20260513_011003,6,0,0,SSP,148.00,20,36.12,10.34,85.99,13.73,22.38,0.00,20,4,17
20260513_011003,6,1,1,EV,166.00,20,38.18,10.12,91.20,15.05,23.13,0.00,20,4,17
20260513_011003,6,2,2,EA,193.50,20,34.84,4.87,109.87,11.09,23.76,0.00,20,4,17
20260513_011003,7,0,0,SSP,132.00,20,35.31,10.12,88.47,13.36,21.95,0.00,20,4,17
