runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260513_223917,6,0,0,SSP,70.00,20,16.73,5.26,31.75,7.94,8.79,0.00,20,1,1297
20260513_223917,6,1,1,EV,61.00,20,15.71,5.26,28.63,7.43,8.28,0.00,20,1,1297
20260513_223917,6,2,2,EA,68.50,20,15.47,5.26,26.04,7.43,8.04,0.00,20,1,1297
20260513_223917,7,0,0,SSP,56.50,20,15.74,5.93,28.46,7.36,8.38,0.00,20,1,1297
20260513_223917,7,1,1,EV,54.00,20,15.41,5.26,29.36,7.28,8.13,0.00,20,1,1297
20260513_223917,7,2,2,EA,52.00,20,16.24,2.66,33.28,8.21,8.02,0.00,20,1,1297
20260513_223917,8,0,0,SSP,48.00,20,16.35,5.26,25.88,7.87,8.48,0.00,20,1,1297
20260513_223917,8,1,1,EV,53.50,20,15.88,5.26,28.46,7.56,8.32,0.00,20,1,1297
20260513_223917,8,2,2,EA,53.50,20,15.85,2.92,31.04,7.77,8.07,0.00,20,1,1297
20260513_223917,9,0,0,SSP,44.50,20,16.18,5.76,29.06,7.30,8.88,0.00,20,1,1297
20260513_223917,9,1,1,EV,49.50,20,15.65,4.75,28.77,7.21,8.44,0.00,20,1,1297
20260513_223917,9,2,2,EA,50.00,20,16.24,2.92,30.79,7.92,8.32,0.00,20,1,1297
20260513_223917,10,0,0,SSP,46.50,20,16.59,4.75,27.11,7.72,8.87,0.00,20,1,1297
20260513_223917,10,1,1,EV,46.00,20,16.50,4.61,27.35,7.96,8.54,0.00,20,1,1297
20260513_223917,10,2,2,EA,46.50,20,15.79,2.92,30.98,7.44,8.34,0.00,20,1,1297
20260513_223917,1,0,0,SSP,512.00,20,25.60,13.73,51.60,12.67,12.93,0.00,20,2,1297
20260513_223917,1,1,1,EV,474.50,20,23.70,14.22,37.29,11.52,12.18,0.00,20,2,1297
20260513_223917,1,2,2,EA,450.00,20,22.50,6.40,43.33,10.93,11.56,0.00,20,2,1297
20260513_223917,2,0,0,SSP,252.00,20,24.43,12.47,67.39,11.61,12.82,0.00,20,2,1297
20260513_223917,2,1,1,EV,242.50,20,23.48,10.36,52.58,11.41,12.07,0.00,20,2,1297
20260513_223917,2,2,2,EA,237.00,20,21.95,5.64,44.26,10.23,11.71,0.00,20,2,1297
20260513_223917,3,0,0,SSP,169.50,20,23.14,7.05,44.85,10.56,12.58,0.00,20,2,1297
20260513_223917,3,1,1,EV,166.50,20,22.95,11.87,37.41,10.78,12.17,0.00,20,2,1297
20260513_223917,3,2,2,EA,159.50,20,21.74,5.69,37.65,9.94,11.80,0.00,20,2,1297
20260513_223917,4,0,0,SSP,142.50,20,24.69,5.95,50.24,10.54,14.15,0.00,20,2,1297
20260513_223917,4,1,1,EV,136.00,20,22.86,6.45,36.92,11.04,11.82,0.00,20,2,1297
20260513_223917,4,2,2,EA,118.50,20,21.92,5.97,48.72,9.51,12.41,0.00,20,2,1297
20260513_223917,5,0,0,SSP,124.00,20,25.85,6.44,49.61,11.89,13.96,0.00,20,2,1297
20260513_223917,5,1,1,EV,117.50,20,24.39,7.95,44.22,12.58,11.82,0.00,20,2,1297
20260513_223917,5,2,2,EA,100.50,20,22.38,5.97,38.20,10.55,11.83,0.00,20,2,1297
20260513_223917,6,0,0,SSP,93.50,20,25.71,7.33,52.87,11.47,14.24,0.00,20,2,1297
20260513_223917,6,1,1,EV,94.50,20,23.85,6.76,46.80,11.88,11.97,0.00,20,2,1297
20260513_223917,6,2,2,EA,108.50,20,25.06,9.51,40.74,13.22,11.84,0.00,20,2,1297
20260513_223917,7,0,0,SSP,93.50,20,26.29,7.44,53.99,12.41,13.87,0.00,20,2,1297
20260513_223917,7,1,1,EV,81.00,20,22.27,6.71,50.70,10.08,12.19,0.00,20,2,1297
20260513_223917,7,2,2,EA,80.00,20,24.24,3.04,41.39,12.04,12.20,0.00,20,2,1297
20260513_223917,8,0,0,SSP,87.00,20,26.03,6.94,51.26,12.02,14.02,0.00,20,2,1297
20260513_223917,8,1,1,EV,64.00,20,21.42,6.42,35.35,9.44,11.98,0.00,20,2,1297
20260513_223917,8,2,2,EA,90.50,20,27.03,3.34,46.14,15.19,11.84,0.00,20,2,1297
20260513_223917,9,0,0,SSP,77.00,20,24.84,8.46,52.91,10.25,14.59,0.00,20,2,1297
20260513_223917,9,1,1,EV,74.50,20,23.22,7.47,48.27,10.57,12.65,0.00,20,2,1297
20260513_223917,9,2,2,EA,71.50,20,23.53,3.97,41.63,12.22,11.30,0.00,20,2,1297
20260513_223917,10,0,0,SSP,68.00,20,24.81,5.26,52.10,10.13,14.69,0.00,20,2,1297
20260513_223917,10,1,1,EV,61.00,20,22.82,5.54,52.01,9.87,12.95,0.00,20,2,1297
20260513_223917,10,2,2,EA,71.00,20,24.48,7.14,43.97,12.53,11.95,0.00,20,2,1297
20260513_223917,1,0,0,SSP,625.00,20,31.24,16.93,59.85,15.05,16.19,0.00,20,3,1297
20260513_223917,1,1,1,EV,568.00,20,28.38,16.06,47.07,13.74,14.64,0.00,20,3,1297
20260513_223917,1,2,2,EA,554.00,20,27.70,6.33,54.37,13.61,14.09,0.00,20,3,1297
20260513_223917,2,0,0,SSP,306.50,20,29.90,13.21,91.81,14.54,15.36,0.00,20,3,1297
20260513_223917,2,1,1,EV,284.50,20,28.12,11.20,69.49,13.76,14.35,0.00,20,3,1297
20260513_223917,2,2,2,EA,294.50,20,26.71,7.15,57.73,11.85,14.86,0.00,20,3,1297
20260513_223917,3,0,0,SSP,211.50,20,28.68,8.61,66.79,12.86,15.82,0.00,20,3,1297
20260513_223917,3,1,1,EV,188.00,20,27.73,8.61,54.88,12.57,15.16,0.00,20,3,1297
20260513_223917,3,2,2,EA,194.00,20,26.09,6.99,45.79,11.71,14.37,0.00,20,3,1297
20260513_223917,4,0,0,SSP,175.00,20,30.96,7.62,78.38,12.31,18.65,0.00,20,3,1297
20260513_223917,4,1,1,EV,152.00,20,28.06,8.12,52.08,13.10,14.96,0.00,20,3,1297
20260513_223917,4,2,2,EA,153.00,20,26.88,6.35,50.80,11.91,14.98,0.00,20,3,1297
20260513_223917,5,0,0,SSP,144.50,20,32.28,7.12,71.02,14.38,17.90,0.00,20,3,1297
20260513_223917,5,1,1,EV,131.50,20,29.08,7.12,59.94,14.46,14.62,0.00,20,3,1297
20260513_223917,5,2,2,EA,142.00,20,27.25,12.96,55.49,12.79,14.46,0.00,20,3,1297
20260513_223917,6,0,0,SSP,124.00,20,34.00,8.99,82.61,15.26,18.73,0.00,20,3,1297
20260513_223917,6,1,1,EV,121.50,20,29.67,7.23,57.86,14.47,15.20,0.00,20,3,1297
20260513_223917,6,2,2,EA,118.00,20,29.81,13.97,49.06,15.29,14.53,0.00,20,3,1297
20260513_223917,7,0,0,SSP,121.50,20,33.22,7.63,81.08,15.23,17.99,0.00,20,3,1297
20260513_223917,7,1,1,EV,93.50,20,27.25,7.48,59.39,12.66,14.59,0.00,20,3,1297
20260513_223917,7,2,2,EA,112.00,20,30.45,3.42,51.50,15.38,15.08,0.00,20,3,1297
20260513_223917,8,0,0,SSP,100.00,20,31.67,7.62,77.03,13.46,18.21,0.00,20,3,1297
20260513_223917,8,1,1,EV,79.00,20,26.30,7.72,44.86,11.47,14.83,0.00,20,3,1297
20260513_223917,8,2,2,EA,99.00,20,29.34,4.39,53.32,15.33,14.00,0.00,20,3,1297
20260513_223917,9,0,0,SSP,89.50,20,30.72,7.62,71.58,12.68,18.05,0.00,20,3,1297
20260513_223917,9,1,1,EV,90.50,20,28.31,8.15,57.15,12.80,15.51,0.00,20,3,1297
20260513_223917,9,2,2,EA,113.50,20,31.63,3.76,74.60,17.75,13.88,0.00,20,3,1297
20260513_223917,10,0,0,SSP,89.50,20,31.68,6.35,78.94,13.48,18.20,0.00,20,3,1297
20260513_223917,10,1,1,EV,68.00,20,26.64,6.35,57.20,11.54,15.10,0.00,20,3,1297
20260513_223917,10,2,2,EA,95.50,20,28.31,9.22,64.06,14.12,14.19,0.00,20,3,1297
20260513_223917,1,0,0,SSP,729.50,20,36.45,15.25,75.77,16.39,20.07,0.00,20,4,1297
20260513_223917,1,1,1,EV,677.50,20,33.86,15.93,57.05,15.98,17.88,0.00,20,4,1297
20260513_223917,1,2,2,EA,684.50,20,34.22,8.85,63.76,17.12,17.10,0.00,20,4,1297
20260513_223917,2,0,0,SSP,346.50,20,34.38,17.66,85.34,15.21,19.17,0.00,20,4,1297
20260513_223917,2,1,1,EV,334.00,20,33.38,16.67,66.11,15.48,17.91,0.00,20,4,1297
20260513_223917,2,2,2,EA,325.50,20,32.45,6.81,63.48,15.12,17.34,0.00,20,4,1297
20260513_223917,3,0,0,SSP,237.50,20,33.92,9.66,81.97,14.37,19.55,0.00,20,4,1297
20260513_223917,3,1,1,EV,224.50,20,32.15,9.93,63.46,14.45,17.70,0.00,20,4,1297
20260513_223917,3,2,2,EA,233.50,20,31.48,7.01,58.73,14.04,17.43,0.00,20,4,1297
20260513_223917,4,0,0,SSP,213.50,20,37.46,10.81,99.91,14.82,22.64,0.00,20,4,1297
20260513_223917,4,1,1,EV,169.50,20,31.68,9.66,62.19,14.18,17.51,0.00,20,4,1297
20260513_223917,4,2,2,EA,216.00,20,33.20,6.58,89.61,14.50,18.70,0.00,20,4,1297
20260513_223917,5,0,0,SSP,178.50,20,40.16,8.70,106.32,17.66,22.50,0.00,20,4,1297
20260513_223917,5,1,1,EV,159.00,20,33.41,7.80,76.06,16.11,17.30,0.00,20,4,1297
